status,experiment,gene,condition,animal,sample_id,z_planes,height,width,plane_objects,global_3d_objects,single_plane_objects,stitch_links,nuclear_image,output_name,output_dir,completed_at_utc,maximum_z_planes_per_object,median_z_planes_per_object,p95_z_planes_per_object,parameters,sample_path,script_version,stitch_threshold,tracking_backend
completed,306,wnt1,6hr_Incision,Image1,306__6hr_Incision__Image1,69,4704,5508,137321,17757,11027,119564,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Incision/Image1/405/6hr_Incision_Image1_405.tif,cellpose_label_plane_s4_cp-1p75_f0p8_d90_n500_st0p25,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Incision/Image1/565/results/cellpose_label_plane_s4_cp-1p75_f0p8_d90_n500_st0p25,2026-08-27T09:00:49.590270+00:00,69,1.0,36.0,"{""batch_size"": 4, ""cellprob_threshold"": -1.75, ""compression"": ""zlib"", ""device"": ""mps"", ""diameter"": 90.0, ""flow_threshold"": 0.8, ""min_size"": 15, ""model"": ""cpsam_v2"", ""niter"": 500, ""normalization"": ""plane"", ""normalization_planes"": 16, ""smooth_radius"": 4.0, ""stitch_threshold"": 0.25, ""tile_overlap"": 0.5}",/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/6hr_Incision/Image1,1.2.1,0.25,cellpose.utils.stitch3D
completed,306,wnt1,12hr_Incision,Image1,306__12hr_Incision__Image1,67,3314,3649,61435,7571,4097,53864,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Incision/Image1/405/12hr_Incision_Image1_405.tif,cellpose_label_plane_s4_cp-1p75_f0p8_d90_n500_st0p25,/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Incision/Image1/565/results/cellpose_label_plane_s4_cp-1p75_f0p8_d90_n500_st0p25,2026-08-27T09:37:36.802981+00:00,67,1.0,34.0,"{""batch_size"": 4, ""cellprob_threshold"": -1.75, ""compression"": ""zlib"", ""device"": ""mps"", ""diameter"": 90.0, ""flow_threshold"": 0.8, ""min_size"": 15, ""model"": ""cpsam_v2"", ""niter"": 500, ""normalization"": ""plane"", ""normalization_planes"": 16, ""smooth_radius"": 4.0, ""stitch_threshold"": 0.25, ""tile_overlap"": 0.5}",/Volumes/Backup Plus/Experiment_results/306_analysis_results_alter/Experiment/12hr_Incision/Image1,1.2.1,0.25,cellpose.utils.stitch3D
